2024-09-06,Kingsford Hotel Bacolod CCTV,CMRP24090382,6,Megaworld,Electrification,CCTV,Buildings,CONSTRUCTION,2024-09-04,2024-09-17,GO,CBD,AVR,AVR,Submitted,2025-03-26,20,3748214.29,OP30,,,,,,,,,internal of Meg,dd4e434a-3b62-445d-8186-3d85bed2bce0,
2025-01-22,Copper and Ammonia FMCS Integration,CMRP25010032,0,ST Microelectronics,Automation,INSTRUMENTATION,Manufacturing,SEMICON,2025-01-22,2025-01-28,GO,CBD,RJR,RJR,Submitted,2025-02-03,,82624.94,OP100,2025-02-01,,,,,,,,,e9fc12c3-471a-4fd2-a38a-04a9c454a8c8,
2025-01-09,MRT7 Station 12 ACS & FDAS,CMRP25010003,3,Monocrete Inc.,Electrification,EE & AUX,Buildings,CONSTRUCTION,2025-01-08,2025-01-15,GO,CBD,JEB,ASB,Submitted,2025-04-23,27,31094635.96,OP60,,,,10-Existing,10 -Existing Solution,10 -Focus Business,7 -Urgent,10 -Complete,"Jan13:
- create assumption of working hours / manpower
- technical notes: any deviation from the plan / assumption",175483bd-2450-42c9-9d12-58c451c0723a,
2024-11-05,Kingsford Hotel ACS & Traffic Management System,CMRP24110469,5,Megaworld,Electrification,ACS,Buildings,CONSTRUCTION,2024-10-30,2024-11-08,GO,CBD,RJR,SubCon,Submitted,2025-04-25,24,4249249.60,OP30,,,,10-Existing,10 -Existing Solution,8 -Strategic Business,10 -Reasonable Time,10 -Complete,"Jan13: 
- waiting for Megaworld feedback",85929e69-33cb-474b-b6ea-6b22ac7f448a,
2025-02-07,URC Malvar NSL_Electrical Works Site Development Lightings ,CMRP25020061,2,URC BCFG,Electrification,EE & AUX,Manufacturing,F&B,2025-02-07,2025-02-24,GO,JMO,CBG,Partner,Submitted,2025-03-27,22,18140891.35,LOST,2025-04-01,Commercial Offer Optimization,,10-Existing,3 -No Previous Experience,5 -Peripheral Scope,5 -Budgetary,10 -Complete,Lost to SSW acc to buyer (Levi Gealogo) 14Apr,7dd743b2-238e-4430-9fb2-2da0aa796ff8,
2024-11-11,JX Metals Slitting Machine Panel Rehab,CMRP24120518,0,"JX Metals Philippines, Inc.",Automation,ELECTRICAL,Manufacturing,SEMICON,2024-11-08,,GO,RTR,MMR,MMR,Submitted,2024-12-12,,340000.00,OP100,2025-01-01,,,10-Existing,10 -Existing Solution,10 -Core Business,10 -Reasonable Time,10 -Complete,WO 256012146,78707a80-fd59-4812-bd32-412a6e3d49d0,
2025-02-19,ORCA Eisberg 321.28 kWp Roof-Mount On-Grid Solar,CMRP25020072,0,ORCA-Caloocan,Electrification,SOLAR,Buildings,COLD STORAGE,2025-02-19,2025-02-28,GO,JMO,JMO,Partner,Submitted,,20,17247292.22,OP90,,,,5-New Account No Champion,10 -Existing Solution,5 -Peripheral Scope,7 -Urgent,10 -Complete,ENTORIA's send PPA rate to ORCA 15Apr,fd7db1b9-1724-43c4-8ba0-11b25b0e2c8d,
2025-03-14,Secretariat Bldg 121.8kWp Solar Hybrid On-Grid with 122kWhr Battery,CMRP24100440,4,"DDT Konstract, Inc.",Electrification,SOLAR,Buildings,CONSTRUCTION,2025-03-14,2025-03-15,GO,JMO,JMO,Partner,Submitted,,19,12000000.00,OP60,,,,5-New Account No Champion,5 -Need External Resource,2 -Non Core for Subcon,10 -Reasonable Time,10 -Complete,VP Staff waiting for 3rd Bidder,cdab18e3-1532-4aa9-86f6-eec5b67af990,
2024-11-19,Pam 2 Electrical Works for Coffee and RTD Beverage Substation,CMRP24120532,0,URC BCFG,Electrification,ELECTRICAL,Manufacturing,F&B,2024-01-19,,GO,JMO,JMO,SubCon,For Revision,2025-01-16,19,8202545.21,OP30,,,,10-Existing,10 -Existing Solution,8 -Strategic Business,10 -Reasonable Time,10 -Complete,End-user looking for MVSG new location 15Apr,2c83dd95-e4b6-4502-b150-345b173b33af,
2024-11-21,NGC Main Street CCTV,CMRP24120519,1,Megaworld,Electrification,CCTV,Manufacturing,MANUFACTURING,,,GO,CBD,AVR,AVR,Submitted,2025-01-17,30,5338507.60,OP30,,,,,,,,,"April 07:
- to revise offer to CCTV Axis brand RFQ to Netpac",2edb7ed2-df1d-4c86-814b-f200d4b23e8a,
2024-11-28,Pam 2 New Pampanga Warehouse CCTV requirements,CMRP24120535,0,URC BCFG,Electrification,CCTV,Manufacturing,F&B,2025-01-14,2025-01-21,GO,JMO,RJR,AVR,Submitted,2025-02-21,20,3916082.48,OP30,,,,10-Existing,5 -Need External Resource,8 -Strategic Business,5 -Budgetary,10 -Complete,Under Technical & Commercial Evaluation,556aa5f4-3a26-47c7-884e-829c127b0621,
2025-01-03,Pam 1 Jaguar Plant PM of MVSG Transformer  & Accessories,CMRP25010014,0,URC BCFG,Electrification,ELECTRICAL,Manufacturing,F&B,2025-01-03,,GO,JMO,JMO,SubCon,Submitted,2025-01-21,17,1249775.15,LOST,2025-04-01,,,10-Existing,5 -Need External Resource,5 -Peripheral Scope,5 -Budgetary,5 -Limited,Lost Bid to Tan Delta,5f47d59d-6dc1-4e83-b976-f4234e08ed4f,
2025-01-06,URC SURE Supply of Vibration Transmitter,,,URC SURE,Automation,INSTRUMENTATION,Manufacturing,F&B,2025-01-02,2025-01-09,DECLINE,NSG,NSG,NSG,,,,,,,,,2-Existing account with No Orders,3 -No Previous Experience,2 -Non Core for Subcon,5 -Budgetary,2 -No Data,,b5559405-95c9-4b35-8923-438ec526ea30,
2025-01-06,URC SURE Supply of Smart Positioner,,,URC SURE,Automation,INSTRUMENTATION,Manufacturing,F&B,2025-01-02,2025-01-09,DECLINE,NSG,NSG,NSG,,,,,,,,,2-Existing account with No Orders,3 -No Previous Experience,2 -Non Core for Subcon,5 -Budgetary,2 -No Data,,25ef2c0d-cdd6-4db1-af3f-0917c7835893,
2025-01-06,Additional Scope for NCC FDAS - Option 1,CMRP25010004,0,​Northern Cement ​Corporation,Electrification,FDAS,Manufacturing,CEMENT,2025-01-03,2025-01-09,GO,LOS,NSG,SubCon,Submitted,2025-01-09,35,,,,,,10-Existing,10 -Existing Solution,10 -Core Business,10 -Reasonable Time,10 -Complete,For Subcon - Difsys,b9e3c657-3d55-4ad1-9f17-e6d9c94efb37,
2025-01-06,NCC Maintenance of Line A Fire Detection Alarm System,CMRP25010004,0,​Northern Cement ​Corporation,Electrification,FDAS,Manufacturing,CEMENT,2025-01-03,2025-01-09,GO,NSG,NSG,SubCon,Submitted,2025-01-09,,,,,,,10-Existing,10 -Existing Solution,10 -Core Business,10 -Reasonable Time,10 -Complete,For Subcon - Difsys,b9cf1084-8ac5-4889-be9a-d5e146dbcfba,
2025-02-24,URC La Carlota Mill Installation of Controls for 10 units of Pans,CMRP24120536,2,URC BCFG,Automation,PLC / SCADA,Manufacturing,F&B,2025-01-31,,GO,RTR,RTR,RTR,Submitted,2025-02-21,,9910704.77,OP60,,,,10-Existing,8 -Need to Customize,8 -Strategic Business,5 -Budgetary,5 -Limited,,3c27879a-9cfe-4079-b708-3c4fa62b7b9a,
2025-01-07,URC SURE Supply of Tachometer,,,URC SURE,Automation,INSTRUMENTATION,Manufacturing,F&B,2025-01-06,,DECLINE,NSG,NSG,NSG,,,,,,,,,2-Existing account with No Orders,3 -No Previous Experience,2 -Non Core for Subcon,5 -Budgetary,2 -No Data,,fd2073ad-adbf-4c2c-ac6c-0a30b805abe6,
2025-01-07,URC La Carlota Repair of 2 Units Soft Starter,,,URC SURE,Electrification,ELECTRICAL,Manufacturing,F&B,2025-01-07,,DECLINE,NSG,,,,,,,,,,,2-Existing account with No Orders,3 -No Previous Experience,2 -Non Core for Subcon,5 -Budgetary,10 -Complete,,61a6e615-7e1e-481e-b14a-fcffb9e34ec9,
2024-11-19,URC Pamp 2 Packaging Cooling Tunnel Controller & HMI Upgarde for L1 & L2,CMRP24120531,2,URC BCFG,Automation,PLC / SCADA,Manufacturing,F&B,2025-03-07,2025-03-14,GO,JMO,RJR,VIB,Submitted,2025-04-10,15,5904833.39,LOST,2025-04-01,,,10-Existing,10 -Existing Solution,10 -Core Business,10 -Reasonable Time,10 -Complete,Lost to JAM by 12.55 (5.164M VAT EX),a714af23-ba2a-4c2c-9e85-4daff373c1ab,
2025-01-13,RCBC Supply and Installation of ABB ACB,CMRP25010006,2,Applied Thermal Technology Solution Corporation,Electrification,ELECTRICAL,Buildings,CONSTRUCTION,2025-01-10,2025-01-21,GO,CBD,NSG,MMR,Submitted,2025-02-05,27,1250000.00,OP100,2025-02-01,,,10-Existing,10 -Existing Solution,10 -Core Business,10 -Reasonable Time,10 -Complete,"Jan13:
For Site Inspection: SE & MMR
Jan20:
-waiting for DAHUA
-Mechanical Contractor (subcon: Jays from URC sir Jun from Unilab)
-need reference from the subcon and detailed limitation/exclusions of their offers",bc16b1b7-38e4-48c4-81a9-bb8fb66c2e17,
2025-03-03,Aboitiz TMO UPGRADE OF MOBILE 5 DG 8910 PLC SYSTEM,CMRP25030098,0,Aboitiz,Automation,PLC / SCADA,Power,POWER PLANT,2025-02-17,2025-03-07,GO,RTR,AVR,DS,Submitted,2025-03-12,20,5405994.87,OP90,,,,,,,,,"mar31
- followup ms Jean today and request details on bonds",263512c4-88a6-4ed8-9b1a-3b11921518fa,
2025-01-10,Installation of 2 sets Lightning Arrester_PR#1200014782,,,URC SURE,Electrification,CCTV,Manufacturing,F&B,2025-01-10,2025-01-17,DECLINE,JMO,,,,,,,,,,,10-Existing,5 -Need External Resource,2 -Non Core for Subcon,7 -Urgent,5 -Limited,,077a4c6a-22e6-4a2e-a27e-546895dc8a0e,
2025-01-10,S&I Auxiliary Works (FDAS & Tel) @ Mandaluyong Legislative Works,CMRP25010031,0,"WHITEPORT, Inc.",Electrification,FDAS,Buildings,CONSTRUCTION,2025-01-10,2025-02-07,GO,JMO,CBG,CBG,On-Going,,20,,,,,,5-New Account No Champion,10 -Existing Solution,2 -Non Core for Subcon,10 -Reasonable Time,10 -Complete,"For qtn finalization by IAn/Marc
- ACS
Apr 10:
-ACS to input quotation from 
-PABGM - no quote",06f9b68c-52ee-4d1d-af7c-b858b03cc1de,
2025-02-08,Aboitiz TMI Nasipit RTU Integration,CMRP25010029,1,Aboitiz,Electrification,PLC / SCADA,Power,POWER PLANT,,,GO,RTR,AVR,SubCon,Submitted,2025-02-03,24,1896937.17,OP100,2025-02-01,,,,,,,,,57fbc4d3-59bf-466a-94ae-d51fa7209190,
2025-02-21,MRT7 Station 2 ACS,CMRP25020076,1,DBBC,Electrification,ACS,Buildings,CONSTRUCTION,2025-02-19,2025-02-26,GO,CBD,CBG,Partner,Submitted,2025-04-22,27,7853521.35,OP60,,,,,,,,,,e7233cf3-23c1-4550-9a56-8aed1285141c,
2025-01-13,URC SURE PR#100012098 - Current Transducer,,,URC SURE,Automation,INSTRUMENTATION,Manufacturing,F&B,2025-01-10,,DECLINE,NSG,NSG,NSG,,,,,,,,,2-Existing account with No Orders,3 -No Previous Experience,2 -Non Core for Subcon,5 -Budgetary,2 -No Data,,479b9900-d707-47f7-9938-242d0a5fc29c,
2025-01-13,URC SURE PR#1000115647 - Solenoid Valve,,,URC SURE,Automation,INSTRUMENTATION,Manufacturing,F&B,2025-01-13,,DECLINE,NSG,NSG,NSG,,,,,,,,,2-Existing account with No Orders,3 -No Previous Experience,2 -Non Core for Subcon,5 -Budgetary,2 -No Data,,81f90cdb-fb29-4c70-8c3b-0f673581b42c,
2025-01-14,Steelworld Digital Modules/PLC Troubleshooting,,,Steelworld Manufacturing Corporation,Automation,PLC / SCADA,Manufacturing,MANUFACTURING,2025-01-14,,DECLINE,RTR,VIB,SubCon,,,,,,,,,5-New Account No Champion,10 -Existing Solution,8 -Strategic Business,5 -Budgetary,5 -Limited,For Subcon to DotXwaiting for client to send password of machines dotx offered upgrade,f852e827-3d3f-4342-a34c-61a0187c3966,
2025-01-14,Room Temp Monitoring,,,Grand Apex Construction Inc.,Electrification,FDAS,Buildings,CONSTRUCTION,2025-01-14,,DECLINE,CBD,VIB,,,,,,,,,,,,,,,"VIB Feb03: Yek Yeu M. Andaya no reply to inquiry through viber and email.
Feb10: to ask support from NSG to followup",2505bd59-a2bb-426a-a4b7-279338babcfb,
