6-Sep-24,Kingsford Hotel Bacolod CCTV,CMRP24090382,6,Megaworld,Electrification,CCTV,Buildings,CONSTRUCTION,"Wed, Sep 04 ","Tue, Sep 17 ",GO,CBD,AVR,AVR,Submitted,"Wed,Mar 26",20%,"3,748,214.29",OP30,,,,,,,,,internal of Meg,
"Wed,Jan 22",Copper and Ammonia FMCS Integration,CMRP25010032,0,ST Microelectronics,Automation,INSTRUMENTATION,Manufacturing,SEMICON,"Wed,Jan 22","Tue,Jan 28",GO,CBD,RJR,RJR,Submitted,"Mon,Feb 03",,"82,624.94",OP100,2/1/25,,,,,,,,,
"Thu,Jan 09",MRT7 Station 12 ACS,CMRP25010003,3,Monocrete Inc.,Electrification,EE & AUX,Buildings,CONSTRUCTION,"Wed,Jan 08","Wed,Jan 15",GO,CBD,ASB,ASB,Submitted,"Wed,Apr 23",27%,"9,821,428.57",OP60,,,,10-Existing,10 -Existing Solution,10 -Focus Business,7 -Urgent,10 -Complete,"Jan13:
- create assumption of working hours / manpower
- technical notes: any deviation from the plan / assumption ",
5-Nov-24,Kingsford Hotel ACS & Traffic Management System,CMRP24110469,5,Megaworld,Electrification,ACS,Buildings,CONSTRUCTION,"Wed, Oct 30 ","Fri, Nov 08 ",GO,CBD,RJR,SubCon,For Revision,"Fri,Apr 25",24%,"4,249,249.60",OP30,,,,10-Existing,10 -Existing Solution,8 -Strategic Business,10 -Reasonable Time,10 -Complete,"Jan13: 
- waiting for Megaworld feedback",
"Fri,Feb 07",URC Malvar NSL_Electrical Works Site Development Lightings ,CMRP25020061,2,URC BCFG,Electrification,EE & AUX,Manufacturing,F&B,"Fri,Feb 07","Mon,Feb 24",GO,JMO,CBG,Partner,Submitted,"Thu,Mar 27",22%,"18,140,891.35",LOST,4/1/25,Commercial Offer Optimization,,10-Existing,3 -No Previous Experience,5 -Peripheral Scope,5 -Budgetary,10 -Complete,"Lost to SSW acc to buyer (Levi Gealogo), 14Apr",
11-Nov-24,JX Metals Slitting Machine Panel Rehab,CMRP24120518,0,"JX Metals Philippines, Inc.",Automation,ELECTRICAL,Manufacturing,SEMICON,"Fri,Nov 08",,GO,RTR,MMR,MMR,Submitted,"Thu,Dec 12",,"340,000.00",OP100,1/1/25,,,10-Existing,10 -Existing Solution,10 -Core Business,10 -Reasonable Time,10 -Complete,WO 256012146,
"Wed,Feb 19",ORCA  aloo can 321.28 kWp Roof-Mount On-Grid Solar,CMRP25020072,0,ORCA-Caloocan,Electrification,SOLAR,Buildings,COLD STORAGE,"Wed,Feb 19","Fri,Feb 28",GO,JMO,JMO,Partner,Submitted,,20%,"17,247,292.22",OP60,,,,"5-New Account, No Champion",10 -Existing Solution,5 -Peripheral Scope,7 -Urgent,10 -Complete,06May: ORCA clarification on Project Timeline,
"Fri,Mar 14",Secretariat Bldg 121.8kWp Solar Hybrid On-Grid with 122kWhr Battery,CMRP24100440,4,"DDT Konstract, Inc.",Electrification,SOLAR,Buildings,CONSTRUCTION,"Fri,Mar 14","Fri,Mar 15",GO,JMO,JMO,Partner,Submitted,,19%,"12,000,000.00",OP60,,,,"5-New Account, No Champion",5 -Need External Resource,2 -Non Core for Subcon,10 -Reasonable Time,10 -Complete,VP Staff waiting for 3rd Bidder,
19-Nov-24, ,CMRP24120532,0,URC BCFG,Electrification,ELECTRICAL,Manufacturing,F&B,"Fri,Jan 19",,GO,JMO,JMO,SubCon,For Revision,"Thu,Jan 16",19%,"8,202,545.21",OP30,,,,10-Existing,10 -Existing Solution,8 -Strategic Business,10 -Reasonable Time,10 -Complete,"End-user looking for MVSG new location, 15Apr",
21-Nov-24,NGC Main Street CCTV,CMRP24120519,1,Megaworld,Electrification,CCTV,Manufacturing,MANUFACTURING,"Thu,Nov 21","Wed,Mar 26",GO,CBD,AVR,AVR,Submitted,"Fri,Jan 17",30%,"5,338,507.60",LOST,5/1/25,,,,,,,,Awarded to Mighty Lynx,
28-Nov-24,Pam 2 New Pampanga Warehouse CCTV requirements,CMRP24120535,0,URC BCFG,Electrification,CCTV,Manufacturing,F&B,"Tue,Jan 14","Tue,Jan 21",GO,JMO,RJR,AVR,Submitted,"Fri,Feb 21",20%,"3,916,082.48",OP30,,,,10-Existing,5 -Need External Resource,8 -Strategic Business,5 -Budgetary,10 -Complete,Under Technical & Commercial Evaluation,
"Fri,Jan 03","Pam 1 Jaguar Plant PM of MVSG, Transformer  & Accessories",CMRP25010014,0,URC BCFG,Electrification,ELECTRICAL,Manufacturing,F&B,"Fri,Jan 03",,GO,JMO,JMO,SubCon,Submitted,"Tue,Jan 21",17%,"1,249,775.15",LOST,4/1/25,,,10-Existing,5 -Need External Resource,5 -Peripheral Scope,5 -Budgetary,5 -Limited,Lost Bid to Tan Delta,
"Mon,Jan 06",URC SURE Supply of Vibration Transmitter,,,URC SURE,Automation,INSTRUMENTATION,Manufacturing,F&B,"Thu,Jan 02","Thu,Jan 09",DECLINE,NSG,NSG,NSG,,,,,,,,,2-Existing account with No Orders,3 -No Previous Experience,2 -Non Core for Subcon,5 -Budgetary,2 -No Data,,
