2024-07-24,URC ESMO Piatto's Mixer PLC Controls (PR# 1200008744),CMRP24070287,2,URC BCFG,Automation,PLC / SCADA,Manufacturing,F&B,2025-03-18,2025-03-21,GO,JMO,RJR,RJR,Submitted,2025-03-24,17,1963392.85,OP100,2025-04-01,,,10-Existing,10 -Existing Solution,10 -Focus Business,10 -Reasonable Time,10 -Complete,PO# 400142053 10-Apr-2025,d46db933-8f2c-4353-bc72-b707c218045d,
2024-07-24,URC ESMO Marlen Extruder PLC Upgrade (PR#1200009601),CMRP24070290,2,URC BCFG,Automation,PLC / SCADA,Manufacturing,F&B,2025-06-06,2025-02-18,GO,JMO,RJR,Partner,Submitted,2025-03-21,15,842273.16,LOST,2025-03-01,,,10-Existing,10 -Existing Solution,10 -Focus Business,10 -Reasonable Time,10 -Complete,"SSW18Feb2025, HOLD BY END_USER",c542916f-4064-4385-9a0c-4562b30f1141,
2024-09-06,Kingsford Hotel Bacolod CCTV,CMRP24090382,6,Megaworld,Electrification,CCTV,Buildings,CONSTRUCTION,2025-09-04,2025-09-17,GO,CBD,AVR,AVR,Submitted,2025-03-26,20,3748214.29,OP30,,,,,,,,,internal of Meg,22b8f1d2-8bec-442a-91e6-ef67fc7f4485,
2025-02-12,URC Pam 2_ Boiler PLC and CPU Upgrade (RFP by Sir Errol),CMRP25020047,0,URC BCFG,Automation,PLC / SCADA,Manufacturing,F&B,2025-02-12,,GO,JMO,RJR,RJR,Submitted,,33,434910.71,OP100,2025-04-01,,,10-Existing,10 -Existing Solution,10 -Core Business,7 -Urgent,5 -Limited,PO#  400159505 08-April-2025,d7acf56b-3401-47b3-bba0-88e8da21f37a,
2024-09-27,UGC CMMS Lightweight MES,CMRP24060230,2,UGC,Digitalization,IT,Manufacturing,MANUFACTURING,2025-09-27,,GO,ISP,ISP,ISP,Submitted,2025-09-17,,643200.00,OP30,,,,10-Strategic,8 -Need to Customize,8 -Strategic Business,10 -Reasonable Time,10 -Complete,,2f7a6455-71d7-4d38-8bd5-c321c3826200,
2024-11-05,Kingsford Hotel ACS & Traffic Management System,CMRP24110469,9,Megaworld,Electrification,ACS,Buildings,CONSTRUCTION,2025-10-30,2025-11-08,GO,CBD,RJR,SubCon,Submitted,2025-05-27,24,3153809.88,OP30,,,,10-Existing,10 -Existing Solution,8 -Strategic Business,10 -Reasonable Time,10 -Complete,"Jan13: 
- waiting for Megaworld feedback",655ac48c-756c-4cfb-a3ec-63f9aefc5aa8,
2024-11-08,Jazeera Paints PCS7 Servers and Clients Upgrade,CMRP24110472,3,Jazeera Paints,Automation,PLC / SCADA,Manufacturing,MANUFACTURING,2025-11-11,,GO,ISP,ISP,SubCon,Submitted,2025-01-24,55,3796118.61,OP60,,,,"5-New Account, No Champion",10 -Existing Solution,8 -Strategic Business,10 -Reasonable Time,10 -Complete,,52587040-3813-4fbd-acc5-6886595e2f2c,
2025-02-24,TMI M2: CYLINDER PRESSURE SENSOR (PR 140002707),CMRP25020063,0,Aboitiz,Automation,INSTRUMENTATION,Power,POWER PLANT,2025-02-24,2025-02-25,GO,NSG,NSG,Partner,Submitted,2025-02-25,49,237230.22,OP100,2025-04-01,,,10-Existing,10 -Existing Solution,10 -Focus Business,10 -Reasonable Time,10 -Complete,PO_150002098_0 15-April-2025,bcff0ea5-c012-4918-b847-7836f51617ef,
2025-02-27,URC Pam 1 Conversion & Upgrade of Silo PLC & Desktop PC,CMRP25030095,1,URC BCFG,Automation,PLC / SCADA,Manufacturing,F&B,2025-02-27,2025-03-31,GO,JMO,RJR,RJR,Submitted,2025-03-31,19,2245652.41,OP100,2025-04-01,,,10-Existing,10 -Existing Solution,10 -Core Business,7 -Urgent,10 -Complete,PO# 400159992 10-Apr-2025,d0d01375-2080-4880-91ed-b2ee3da51845,
2024-11-19,URC Pamp 2 MVSG,CMRP24120532,0,URC BCFG,Electrification,ELECTRICAL,Manufacturing,F&B,2025-01-19,,GO,JMO,JMO,SubCon,For Revision,2025-01-16,19,8202545.21,OP30,,,,10-Existing,10 -Existing Solution,8 -Strategic Business,10 -Reasonable Time,10 -Complete,"End-user looking for MVSG new location, 15Apr",7243596c-b7c8-4a7d-bdf6-bd39dd7d760a,
2024-11-19,URC Pamp 2 Packaging Cooling Tunnel Controller & HMI Upgarde for L1 & L2,CMRP24120531,2,URC BCFG,Automation,PLC / SCADA,Manufacturing,F&B,2025-03-07,2025-03-14,GO,JMO,RJR,VIB,Submitted,2025-04-10,15,5904833.39,LOST,2025-04-01,,,10-Existing,10 -Existing Solution,10 -Core Business,10 -Reasonable Time,10 -Complete,Lost to JAM by 12.55% (5.164M VAT EX),b5816c79-a69a-4a16-a38b-8c3747a8a248,
2024-11-21,NGC Main Street CCTV,CMRP24120519,1,Megaworld,Electrification,CCTV,Manufacturing,MANUFACTURING,2025-11-21,2025-03-26,GO,CBD,AVR,AVR,Submitted,2025-01-17,30,5338507.60,LOST,2025-05-01,,,,,,,,Awarded to Mighty Lynx,ddb14e97-c3f1-4658-b1be-02cf163b0cae,
2024-11-28,Pam 2 New Pampanga Warehouse CCTV requirements,CMRP24120535,0,URC BCFG,Electrification,CCTV,Manufacturing,F&B,2025-01-14,2025-01-21,GO,JMO,RJR,AVR,Submitted,2025-02-21,20,3916082.48,OP30,,,,10-Existing,5 -Need External Resource,8 -Strategic Business,5 -Budgetary,10 -Complete,Under Technical & Commercial Evaluation,99f7c71b-6fb3-4b5e-a499-da73270b9dd8,
2025-01-03,"Pam 1 Jaguar Plant PM of MVSG, Transformer  & Accessories",CMRP25010014,0,URC BCFG,Electrification,ELECTRICAL,Manufacturing,F&B,2025-01-03,,GO,JMO,JMO,SubCon,Submitted,2025-01-21,17,1249775.15,LOST,2025-04-01,,,10-Existing,5 -Need External Resource,5 -Peripheral Scope,5 -Budgetary,5 -Limited,Lost Bid to Tan Delta,466452fb-647f-4580-9522-8fdd6f231b7c,
2025-01-06,URC SURE Supply of Vibration Transmitter,,,URC SURE,Automation,INSTRUMENTATION,Manufacturing,F&B,2025-01-02,2025-01-09,DECLINE,NSG,NSG,NSG,,,,,,,,,2-Existing account with No Orders,3 -No Previous Experience,2 -Non Core for Subcon,5 -Budgetary,2 -No Data,,260e7351-02b7-4f64-85a3-b51c179a68e3,
2025-01-06,URC SURE Supply of Smart Positioner,,,URC SURE,Automation,INSTRUMENTATION,Manufacturing,F&B,2025-01-02,2025-01-09,DECLINE,NSG,NSG,NSG,,,,,,,,,2-Existing account with No Orders,3 -No Previous Experience,2 -Non Core for Subcon,5 -Budgetary,2 -No Data,,ea2c26ad-0384-4fde-9ee8-2045c03370b9,
2025-01-06,Additional Scope for NCC FDAS - Option 1,CMRP25010004,0,​Northern Cement ​Corporation,Electrification,FDAS,Manufacturing,CEMENT,2025-01-03,2025-01-09,GO,LOS,NSG,SubCon,Submitted,2025-01-09,35,,,,,,10-Existing,10 -Existing Solution,10 -Core Business,10 -Reasonable Time,10 -Complete,For Subcon - Difsys,0326a5b6-a9f8-446b-ba4c-c73aa1c4d536,
2025-01-06,NCC Maintenance of Line A Fire Detection Alarm System,CMRP25010004,0,​Northern Cement ​Corporation,Electrification,FDAS,Manufacturing,CEMENT,2025-01-03,2025-01-09,GO,NSG,NSG,SubCon,Submitted,2025-01-09,,,,,,,10-Existing,10 -Existing Solution,10 -Core Business,10 -Reasonable Time,10 -Complete,For Subcon - Difsys,f0dc20a0-232e-448f-b1cd-2650202426c9,
